Timestamp,Protocol,Source IP,Destination IP
2024-10-09T18:54:16.326580,TCP,192.168.0.3,101.33.47.206
2024-10-09T18:54:16.362829,TCP,192.168.0.3,157.255.4.39
2024-10-09T18:54:16.365990,TCP,192.168.0.3,101.33.47.206
2024-10-09T18:54:16.593434,TCP,101.33.47.206,192.168.0.3
2024-10-09T18:54:16.599147,TCP,192.168.0.3,101.33.47.206
2024-10-09T18:54:16.603463,TCP,192.168.0.3,101.33.47.206
2024-10-09T18:54:16.608595,TCP,192.168.0.3,101.33.47.206
2024-10-09T18:54:16.616901,TCP,101.33.47.206,192.168.0.3
2024-10-09T18:54:16.619087,TCP,192.168.0.3,101.33.47.206
2024-10-09T18:54:16.620895,TCP,192.168.0.3,101.33.47.206
2024-10-09T18:54:16.627582,TCP,192.168.0.3,101.33.47.206
2024-10-09T18:54:16.852392,TCP,101.33.47.206,192.168.0.3
2024-10-09T18:54:16.869487,TCP,101.33.47.206,192.168.0.3
2024-10-09T18:54:16.873070,TCP,101.33.47.206,192.168.0.3
2024-10-09T18:54:16.878682,TCP,192.168.0.3,101.33.47.206
2024-10-09T18:54:16.897421,TCP,101.33.47.206,192.168.0.3
2024-10-09T18:54:16.899178,TCP,101.33.47.206,192.168.0.3
2024-10-09T18:54:16.900802,TCP,101.33.47.206,192.168.0.3
2024-10-09T18:54:16.902918,TCP,192.168.0.3,101.33.47.206
2024-10-09T18:54:17.114326,TCP,157.255.4.39,192.168.0.3
